date,open,high,low,close,volume,money
2005-01-04,994.77,994.77,980.66,982.79,741286900.0,4431977418.0
2005-01-05,981.58,997.32,979.88,992.56,711910900.0,4529208214.0
2005-01-06,993.33,993.79,980.33,983.17,628802900.0,3921015420.0
2005-01-07,983.05,995.71,979.81,983.96,729869400.0,4737469399.0
2005-01-10,983.76,993.96,979.79,993.88,579169800.0,3762932890.0
2005-01-11,994.19,999.55,991.09,997.14,584908000.0,3704076709.0
2005-01-12,996.65,996.98,989.26,996.75,501452500.0,3093299668.0
2005-01-13,996.08,999.47,992.7,996.88,604406600.0,3842173302.0
2005-01-14,996.62,1006.46,987.23,988.31,729784200.0,4162921211.0
2005-01-17,979.11,981.53,965.08,967.45,728818900.0,4249807837.0
2005-01-18,967.37,974.87,960.29,974.69,731184800.0,4117944082.0
2005-01-19,974.33,974.33,965.26,967.21,633809100.0,3427951271.0
2005-01-20,963.21,963.21,952.23,956.25,772710600.0,4399350604.0
2005-01-21,954.46,984.27,943.44,982.6,1445006000.0,8152086067.0
2005-01-24,1001.85,1001.85,986.24,998.13,1435946200.0,8360161498.0
2005-01-25,995.64,997.95,985.24,997.78,986252900.0,6157022374.0
2005-01-26,995.78,999.47,988.48,989.93,766329000.0,4719440425.0
2005-01-27,987.34,987.7,973.77,974.63,694536500.0,4094398877.0
2005-01-28,974.63,975.62,965.21,969.21,574880700.0,3280950331.0
2005-01-31,965.79,965.79,953.14,954.88,678870600.0,3863573594.0
2005-02-01,953.33,965.48,952.74,955.95,743306700.0,4275706846.0
2005-02-02,956.7,1006.93,956.7,1006.91,1705733800.0,10202904264.0
2005-02-03,1005.56,1014.19,992.16,993.22,1697454000.0,10057310335.0
2005-02-04,992.25,1021.03,989.94,1016.86,1573621500.0,9549870633.0
2005-02-16,1023.32,1033.25,1018.49,1023.58,1213129300.0,7438168198.0
2005-02-17,1024.43,1024.43,1010.48,1020.61,896829800.0,5513063259.0
2005-02-18,1020.12,1021.2,1005.63,1006.06,813993900.0,4817732089.0
2005-02-21,1006.69,1025.66,1006.69,1025.63,988609400.0,6052394872.0
2005-02-22,1026.84,1048.68,1024.53,1046.74,1793784200.0,10922776830.0
2005-02-23,1046.81,1049.61,1036.63,1043.94,1869693000.0,11231940742.0
2005-02-24,1042.25,1045.96,1034.73,1045.46,1468178900.0,8993752186.0
2005-02-25,1046.27,1059.48,1045.98,1046.76,1817000400.0,11489961151.0
2005-02-28,1046.21,1048.28,1035.04,1039.99,1297104600.0,8190101348.0
2005-03-01,1039.35,1042.74,1031.17,1035.93,996209000.0,6288790666.0
2005-03-02,1036.37,1045.76,1021.0,1021.32,1422513600.0,8971307887.0
2005-03-03,1019.88,1028.4,1014.75,1027.71,920308600.0,5582811955.0
2005-03-04,1027.93,1031.85,1022.18,1023.67,817364100.0,5383868109.0
2005-03-07,1024.48,1031.34,1024.48,1029.87,793295000.0,5316473234.0
2005-03-08,1033.79,1049.29,1032.85,1048.99,1429579400.0,9851274640.0
2005-03-09,1051.26,1054.64,1041.98,1046.54,1532748800.0,9877624291.0
2005-03-10,1046.69,1046.69,1019.63,1022.41,1329595300.0,8380547671.0
2005-03-11,1021.08,1028.12,1016.93,1027.43,1147638100.0,7654557046.0
2005-03-14,1027.18,1041.57,1014.93,1031.03,1446608900.0,10229428920.0
2005-03-15,1030.86,1030.94,1011.64,1013.52,1200749300.0,8091209214.0
2005-03-16,1011.85,1012.2,995.97,1003.07,1062278300.0,7153745871.0
2005-03-17,1001.97,1004.82,992.12,992.86,996901100.0,6535061285.0
2005-03-18,991.89,996.4,975.71,978.67,965206000.0,6314991217.0
2005-03-21,977.3,983.18,973.0,981.89,725256500.0,4594519993.0
2005-03-22,981.71,982.14,959.56,964.02,1137571700.0,6955307694.0
2005-03-23,962.82,975.36,955.99,959.01,1093005400.0,7092055433.0
2005-03-24,957.43,965.06,948.53,964.8,926071500.0,6446642565.0
2005-03-25,964.25,966.97,959.06,962.96,710732300.0,4258127223.0
2005-03-28,961.65,961.65,948.81,960.7,666924600.0,4141656397.0
2005-03-29,960.42,968.12,954.74,955.19,757737900.0,4842151125.0
2005-03-30,952.71,952.71,936.38,937.03,895016400.0,5459378777.0
2005-03-31,934.85,942.37,928.34,942.2,785944600.0,4555322825.0
2005-04-01,941.43,989.9,937.55,978.15,1634750500.0,10109402829.0
2005-04-04,968.49,974.06,956.13,962.17,1143509300.0,7296500041.0
2005-04-05,960.54,967.75,953.59,955.6,953453700.0,6069513997.0
2005-04-06,955.6,977.86,948.95,973.67,1428242100.0,9727656052.0
2005-04-07,975.97,1000.27,974.31,984.73,2075421200.0,13260560596.0
2005-04-08,984.67,1003.7,979.53,1003.45,1476252600.0,9151349808.0
2005-04-11,1003.88,1008.74,992.77,995.42,1593606600.0,10436232248.0
2005-04-12,993.71,993.71,978.2,978.7,1022619300.0,6479563495.0
2005-04-13,987.95,1006.5,987.95,1000.9,1607168700.0,10029602129.0
2005-04-14,1004.64,1006.42,985.58,986.98,1294571000.0,7813424514.0
2005-04-15,982.61,982.61,971.93,974.08,1040895500.0,6541675456.0
2005-04-18,970.91,970.91,958.65,963.77,859840000.0,5329138712.0
2005-04-19,962.92,968.87,957.91,965.89,921262300.0,5768907755.0
2005-04-20,964.15,964.15,946.2,950.87,885070500.0,5300003714.0
2005-04-21,948.86,955.55,938.6,943.98,994614500.0,6140646108.0
2005-04-22,942.91,947.91,934.96,939.1,1069188400.0,6373550345.0
2005-04-25,935.99,935.99,920.16,930.07,1147047800.0,6667303132.0
2005-04-26,928.43,939.7,924.66,937.08,1169047100.0,7029373085.0
2005-04-27,938.57,938.91,925.9,926.6,1078061100.0,6432845906.0
2005-04-28,923.53,945.5,914.83,942.07,1434348600.0,8315813742.0
2005-04-29,940.81,942.45,929.81,932.4,1123541900.0,6853192443.0
2005-05-09,934.65,937.39,909.17,909.17,852911500.0,4889696446.0
2005-05-10,905.54,913.39,892.31,913.08,1049433100.0,5960910722.0
2005-05-11,911.84,917.22,900.44,901.85,904204700.0,5128333208.0
2005-05-12,899.97,900.06,883.51,885.82,1022872000.0,6107327165.0
2005-05-13,883.51,898.51,875.58,887.54,1124490600.0,6228419643.0
2005-05-16,885.39,885.39,869.33,875.27,822428800.0,4630088469.0
2005-05-17,873.08,888.28,868.21,881.46,877227300.0,4635198616.0
2005-05-18,881.14,890.4,871.82,883.2,787861000.0,4615409280.0
2005-05-19,882.84,888.02,871.29,884.17,814958300.0,4263472583.0
2005-05-20,883.51,891.02,879.18,882.76,722667600.0,3835476288.0
2005-05-23,880.28,880.28,862.1,863.34,727979500.0,3725791093.0
2005-05-24,861.2,871.77,855.59,868.46,920692900.0,4777971875.0
2005-05-25,867.66,876.31,861.66,868.45,723855600.0,3742173189.0
2005-05-26,867.76,872.84,854.96,857.33,662278600.0,3470051082.0
2005-05-27,855.6,864.96,848.4,849.51,774998300.0,4240678764.0
2005-05-30,847.63,858.46,842.1,855.61,697158300.0,3712116331.0
2005-05-31,856.56,863.2,853.29,855.95,704782100.0,3601006687.0
2005-06-01,855.21,857.66,836.04,837.53,790230200.0,4274074912.0
2005-06-02,835.47,835.49,812.99,818.38,950865700.0,5220786229.0
2005-06-03,816.55,823.86,807.97,818.03,793605600.0,4164754479.0
2005-06-06,816.73,839.15,807.78,839.0,900918500.0,4685006534.0
2005-06-07,841.58,858.09,835.18,837.28,1306706800.0,7248577634.0
2005-06-08,848.54,908.83,844.47,905.77,3290783900.0,17414544247.0
2005-06-09,907.57,925.37,895.04,912.6,3314184000.0,17782386004.0
2005-06-10,911.94,911.94,889.1,894.56,2239150200.0,12006754528.0
2005-06-13,895.0,900.18,877.69,892.96,1562800200.0,7944060172.0
2005-06-14,895.39,905.42,882.86,883.54,1434357000.0,7692070462.0
2005-06-15,881.21,881.25,865.14,866.83,1145405600.0,6272310250.0
2005-06-16,866.66,879.49,861.83,879.24,1104968500.0,6115269193.0
2005-06-17,883.61,888.08,876.04,880.35,1496300900.0,8285455982.0
2005-06-20,881.62,906.48,872.56,906.26,1899208200.0,10290889580.0
2005-06-21,906.31,906.31,894.39,896.17,1277478400.0,6890936652.0
2005-06-22,894.77,901.24,891.93,900.65,1047813400.0,5882401451.0
2005-06-23,900.06,904.9,892.83,893.57,950930800.0,5465028353.0
2005-06-24,892.06,898.67,888.4,898.3,891873900.0,4732186046.0
2005-06-27,904.21,920.65,904.21,916.04,1654540200.0,8903493734.0
2005-06-28,913.48,913.48,901.21,903.72,1040221900.0,5536098456.0
2005-06-29,906.75,907.57,898.08,898.9,1080674600.0,5751998008.0
